asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.6617193222045898,0.05054476857185364,0.02549288421869278,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616844534873962,0.05053509771823883,0.025490520521998405,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.661666214466095,0.05053804814815521,0.0254867821931839,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616739630699158,0.050532206892967224,0.025484628975391388,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616876721382141,0.05053383111953735,0.025483103469014168,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6617036461830139,0.0505305752158165,0.02547401934862137,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6617165207862854,0.05052671954035759,0.02548927441239357,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6617175936698914,0.05053228512406349,0.02552127093076706,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6617013216018677,0.05053827911615372,0.025568941608071327,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616889834403992,0.05053974688053131,0.025591809302568436,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616768836975098,0.05053350701928139,0.025610553100705147,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616594791412354,0.050544291734695435,0.025638334453105926,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616384387016296,0.05054512247443199,0.02566724084317684,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616195440292358,0.05055849999189377,0.025693675503134727,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616159677505493,0.0505521260201931,0.025705598294734955,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616120338439941,0.05055020749568939,0.025718815624713898,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.6616137027740479,0.05055631324648857,0.025746341794729233,6,0,2,54,KBYG,large,left,large,right
LegacyMarker,0.661612868309021,0.05055360496044159,0.025773169472813606,6,0,2,54,KBYG,large,left,large,right
