asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,30339,6,0,1,15,GBYK,large,right,large,left
Prefix,30340,6,0,1,15,GBYK,large,right,large,left
Prefix,30341,6,0,1,15,GBYK,large,right,large,left
Prefix,30342,6,0,1,15,GBYK,large,right,large,left
Prefix,30343,6,0,1,15,GBYK,large,right,large,left
Prefix,30344,6,0,1,15,GBYK,large,right,large,left
Prefix,30345,6,0,1,15,GBYK,large,right,large,left
Prefix,30346,6,0,1,15,GBYK,large,right,large,left
Prefix,30347,6,0,1,15,GBYK,large,right,large,left
Prefix,30348,6,0,1,15,GBYK,large,right,large,left
Prefix,30349,6,0,1,15,GBYK,large,right,large,left
Prefix,30350,6,0,1,15,GBYK,large,right,large,left
Prefix,30351,6,0,1,15,GBYK,large,right,large,left
Prefix,30352,6,0,1,15,GBYK,large,right,large,left
Prefix,30353,6,0,1,15,GBYK,large,right,large,left
Prefix,30354,6,0,1,15,GBYK,large,right,large,left
Prefix,30355,6,0,1,15,GBYK,large,right,large,left
Prefix,30356,6,0,1,15,GBYK,large,right,large,left
Prefix,30357,6,0,1,15,GBYK,large,right,large,left
Prefix,30358,6,0,1,15,GBYK,large,right,large,left
Prefix,30359,6,0,1,15,GBYK,large,right,large,left
Prefix,30360,6,0,1,15,GBYK,large,right,large,left
Prefix,30361,6,0,1,15,GBYK,large,right,large,left
Prefix,30362,6,0,1,15,GBYK,large,right,large,left
Prefix,30363,6,0,1,15,GBYK,large,right,large,left
Prefix,30364,6,0,1,15,GBYK,large,right,large,left
Prefix,30365,6,0,1,15,GBYK,large,right,large,left
Prefix,30366,6,0,1,15,GBYK,large,right,large,left
Prefix,30367,6,0,1,15,GBYK,large,right,large,left
Prefix,30368,6,0,1,15,GBYK,large,right,large,left
Prefix,30369,6,0,1,15,GBYK,large,right,large,left
Prefix,30370,6,0,1,15,GBYK,large,right,large,left
Prefix,30371,6,0,1,15,GBYK,large,right,large,left
Prefix,30372,6,0,1,15,GBYK,large,right,large,left
Prefix,30373,6,0,1,15,GBYK,large,right,large,left
Prefix,30374,6,0,1,15,GBYK,large,right,large,left
Prefix,30375,6,0,1,15,GBYK,large,right,large,left
Prefix,30376,6,0,1,15,GBYK,large,right,large,left
Prefix,30377,6,0,1,15,GBYK,large,right,large,left
Prefix,30378,6,0,1,15,GBYK,large,right,large,left
Prefix,30379,6,0,1,15,GBYK,large,right,large,left
Prefix,30380,6,0,1,15,GBYK,large,right,large,left
Prefix,30381,6,0,1,15,GBYK,large,right,large,left
Prefix,30382,6,0,1,15,GBYK,large,right,large,left
Prefix,30383,6,0,1,15,GBYK,large,right,large,left
Prefix,30384,6,0,1,15,GBYK,large,right,large,left
Prefix,30385,6,0,1,15,GBYK,large,right,large,left
Prefix,30386,6,0,1,15,GBYK,large,right,large,left
Prefix,30387,6,0,1,15,GBYK,large,right,large,left
Prefix,30388,6,0,1,15,GBYK,large,right,large,left
Prefix,30389,6,0,1,15,GBYK,large,right,large,left
Prefix,30390,6,0,1,15,GBYK,large,right,large,left
Prefix,30391,6,0,1,15,GBYK,large,right,large,left
Prefix,30392,6,0,1,15,GBYK,large,right,large,left
Prefix,30393,6,0,1,15,GBYK,large,right,large,left
Prefix,30394,6,0,1,15,GBYK,large,right,large,left
Prefix,30395,6,0,1,15,GBYK,large,right,large,left
Prefix,30396,6,0,1,15,GBYK,large,right,large,left
Prefix,30397,6,0,1,15,GBYK,large,right,large,left
Prefix,30398,6,0,1,15,GBYK,large,right,large,left
Prefix,30399,6,0,1,15,GBYK,large,right,large,left
Prefix,30400,6,0,1,15,GBYK,large,right,large,left
Prefix,30401,6,0,1,15,GBYK,large,right,large,left
Prefix,30402,6,0,1,15,GBYK,large,right,large,left
Prefix,30403,6,0,1,15,GBYK,large,right,large,left
Prefix,30404,6,0,1,15,GBYK,large,right,large,left
Prefix,30405,6,0,1,15,GBYK,large,right,large,left
Prefix,30406,6,0,1,15,GBYK,large,right,large,left
Prefix,30407,6,0,1,15,GBYK,large,right,large,left
Prefix,30408,6,0,1,15,GBYK,large,right,large,left
Prefix,30409,6,0,1,15,GBYK,large,right,large,left
Prefix,30410,6,0,1,15,GBYK,large,right,large,left
Prefix,30411,6,0,1,15,GBYK,large,right,large,left
Prefix,30412,6,0,1,15,GBYK,large,right,large,left
Prefix,30413,6,0,1,15,GBYK,large,right,large,left
Prefix,30414,6,0,1,15,GBYK,large,right,large,left
Prefix,30415,6,0,1,15,GBYK,large,right,large,left
Prefix,30416,6,0,1,15,GBYK,large,right,large,left
Prefix,30417,6,0,1,15,GBYK,large,right,large,left
Prefix,30418,6,0,1,15,GBYK,large,right,large,left
Prefix,30419,6,0,1,15,GBYK,large,right,large,left
Prefix,30420,6,0,1,15,GBYK,large,right,large,left
Prefix,30421,6,0,1,15,GBYK,large,right,large,left
Prefix,30422,6,0,1,15,GBYK,large,right,large,left
Prefix,30423,6,0,1,15,GBYK,large,right,large,left
Prefix,30424,6,0,1,15,GBYK,large,right,large,left
Prefix,30425,6,0,1,15,GBYK,large,right,large,left
Prefix,30426,6,0,1,15,GBYK,large,right,large,left
Prefix,30427,6,0,1,15,GBYK,large,right,large,left
Prefix,30428,6,0,1,15,GBYK,large,right,large,left
Prefix,30429,6,0,1,15,GBYK,large,right,large,left
Prefix,30430,6,0,1,15,GBYK,large,right,large,left
Prefix,30431,6,0,1,15,GBYK,large,right,large,left
Prefix,30432,6,0,1,15,GBYK,large,right,large,left
Prefix,30433,6,0,1,15,GBYK,large,right,large,left
Prefix,30434,6,0,1,15,GBYK,large,right,large,left
Prefix,30435,6,0,1,15,GBYK,large,right,large,left
Prefix,30436,6,0,1,15,GBYK,large,right,large,left
Prefix,30437,6,0,1,15,GBYK,large,right,large,left
Prefix,30438,6,0,1,15,GBYK,large,right,large,left
Prefix,30439,6,0,1,15,GBYK,large,right,large,left
Prefix,30440,6,0,1,15,GBYK,large,right,large,left
Prefix,30441,6,0,1,15,GBYK,large,right,large,left
Prefix,30442,6,0,1,15,GBYK,large,right,large,left
Prefix,30443,6,0,1,15,GBYK,large,right,large,left
Prefix,30444,6,0,1,15,GBYK,large,right,large,left
Prefix,30445,6,0,1,15,GBYK,large,right,large,left
Prefix,30446,6,0,1,15,GBYK,large,right,large,left
Prefix,30447,6,0,1,15,GBYK,large,right,large,left
Prefix,30448,6,0,1,15,GBYK,large,right,large,left
Prefix,30449,6,0,1,15,GBYK,large,right,large,left
Prefix,30450,6,0,1,15,GBYK,large,right,large,left
Prefix,30451,6,0,1,15,GBYK,large,right,large,left
Prefix,30452,6,0,1,15,GBYK,large,right,large,left
Prefix,30453,6,0,1,15,GBYK,large,right,large,left
Prefix,30454,6,0,1,15,GBYK,large,right,large,left
Prefix,30455,6,0,1,15,GBYK,large,right,large,left
Prefix,30456,6,0,1,15,GBYK,large,right,large,left
Prefix,30457,6,0,1,15,GBYK,large,right,large,left
Prefix,30458,6,0,1,15,GBYK,large,right,large,left
Prefix,30459,6,0,1,15,GBYK,large,right,large,left
Prefix,30460,6,0,1,15,GBYK,large,right,large,left
Prefix,30461,6,0,1,15,GBYK,large,right,large,left
Prefix,30462,6,0,1,15,GBYK,large,right,large,left
Prefix,30463,6,0,1,15,GBYK,large,right,large,left
Prefix,30464,6,0,1,15,GBYK,large,right,large,left
Prefix,30465,6,0,1,15,GBYK,large,right,large,left
Prefix,30466,6,0,1,15,GBYK,large,right,large,left
Prefix,30467,6,0,1,15,GBYK,large,right,large,left
Prefix,30468,6,0,1,15,GBYK,large,right,large,left
Prefix,30469,6,0,1,15,GBYK,large,right,large,left
Prefix,30470,6,0,1,15,GBYK,large,right,large,left
Prefix,30471,6,0,1,15,GBYK,large,right,large,left
Prefix,30472,6,0,1,15,GBYK,large,right,large,left
Prefix,30473,6,0,1,15,GBYK,large,right,large,left
Prefix,30474,6,0,1,15,GBYK,large,right,large,left
Prefix,30475,6,0,1,15,GBYK,large,right,large,left
Prefix,30476,6,0,1,15,GBYK,large,right,large,left
Prefix,30477,6,0,1,15,GBYK,large,right,large,left
Prefix,30478,6,0,1,15,GBYK,large,right,large,left
Prefix,30479,6,0,1,15,GBYK,large,right,large,left
Prefix,30480,6,0,1,15,GBYK,large,right,large,left
Prefix,30481,6,0,1,15,GBYK,large,right,large,left
Prefix,30482,6,0,1,15,GBYK,large,right,large,left
Prefix,30483,6,0,1,15,GBYK,large,right,large,left
Prefix,30484,6,0,1,15,GBYK,large,right,large,left
Prefix,30485,6,0,1,15,GBYK,large,right,large,left
Prefix,30486,6,0,1,15,GBYK,large,right,large,left
Prefix,30487,6,0,1,15,GBYK,large,right,large,left
Prefix,30488,6,0,1,15,GBYK,large,right,large,left
Prefix,30489,6,0,1,15,GBYK,large,right,large,left
Prefix,30490,6,0,1,15,GBYK,large,right,large,left
Prefix,30491,6,0,1,15,GBYK,large,right,large,left
Prefix,30492,6,0,1,15,GBYK,large,right,large,left
Prefix,30493,6,0,1,15,GBYK,large,right,large,left
Prefix,30494,6,0,1,15,GBYK,large,right,large,left
Prefix,30495,6,0,1,15,GBYK,large,right,large,left
Prefix,30496,6,0,1,15,GBYK,large,right,large,left
Prefix,30497,6,0,1,15,GBYK,large,right,large,left
Prefix,30498,6,0,1,15,GBYK,large,right,large,left
Prefix,30499,6,0,1,15,GBYK,large,right,large,left
Prefix,30500,6,0,1,15,GBYK,large,right,large,left
Prefix,30501,6,0,1,15,GBYK,large,right,large,left
Prefix,30502,6,0,1,15,GBYK,large,right,large,left
Prefix,30503,6,0,1,15,GBYK,large,right,large,left
Prefix,30504,6,0,1,15,GBYK,large,right,large,left
Prefix,30505,6,0,1,15,GBYK,large,right,large,left
Prefix,30506,6,0,1,15,GBYK,large,right,large,left
Prefix,30507,6,0,1,15,GBYK,large,right,large,left
Prefix,30508,6,0,1,15,GBYK,large,right,large,left
Prefix,30509,6,0,1,15,GBYK,large,right,large,left
Prefix,30510,6,0,1,15,GBYK,large,right,large,left
Prefix,30511,6,0,1,15,GBYK,large,right,large,left
Prefix,30512,6,0,1,15,GBYK,large,right,large,left
Prefix,30513,6,0,1,15,GBYK,large,right,large,left
Prefix,30514,6,0,1,15,GBYK,large,right,large,left
Prefix,30515,6,0,1,15,GBYK,large,right,large,left
Prefix,30516,6,0,1,15,GBYK,large,right,large,left
Prefix,30517,6,0,1,15,GBYK,large,right,large,left
Prefix,30518,6,0,1,15,GBYK,large,right,large,left
Prefix,30519,6,0,1,15,GBYK,large,right,large,left
Prefix,30520,6,0,1,15,GBYK,large,right,large,left
Prefix,30521,6,0,1,15,GBYK,large,right,large,left
Prefix,30522,6,0,1,15,GBYK,large,right,large,left
Prefix,30523,6,0,1,15,GBYK,large,right,large,left
Prefix,30524,6,0,1,15,GBYK,large,right,large,left
