asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,104,4.44491872883832e-42,0.6248551607131958,0.07603691518306732,-0.03384288027882576,23210,1.6746077168067294e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966419511,4.5528187105913307e-42,0.659583330154419,0.050313472747802734,0.024893414229154587,25202,1.674610519403658e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966617549,4.6999550493454364e-42,0.6123013496398926,0.07553279399871826,-0.06206171214580536,25897,1.674631538880623e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,959065168,4.8078550310984474e-42,0.6625300049781799,0.019159816205501556,0.0017928346060216427,19334,1.6745768882405142e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,104,4.44491872883832e-42,0.624784529209137,0.07603854686021805,-0.0337650440633297,24673,1.6746077168067294e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966353431,4.5528187105913307e-42,0.6595588326454163,0.05028994381427765,0.02492552436888218,26747,1.674610519403658e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966746199,4.6999550493454364e-42,0.6121640205383301,0.07556769996881485,-0.06191707029938698,26284,1.674631538880623e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,957697691,4.8078550310984474e-42,0.6625146865844727,0.01915856823325157,0.0017957327654585242,22242,1.6745768882405142e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,104,4.44491872883832e-42,0.6247125267982483,0.07604046165943146,-0.03369314223527908,26128,1.6746077168067294e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966075138,4.5528187105913307e-42,0.6595247387886047,0.05031782388687134,0.02496684342622757,28360,1.674610519403658e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966894889,4.6999550493454364e-42,0.6120695471763611,0.0756182074546814,-0.06176847964525223,26862,1.674631538880623e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,958578111,4.8078550310984474e-42,0.6624889969825745,0.019151905551552772,0.0017882530810311437,25132,1.6745768882405142e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,104,4.44491872883832e-42,0.6246889233589172,0.07605913281440735,-0.03355350345373154,27567,1.6746077168067294e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,966158251,4.5528187105913307e-42,0.6595065593719482,0.050311073660850525,0.02499478869140148,30090,1.674610519403658e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,967034928,4.6999550493454364e-42,0.6120011210441589,0.07566722482442856,-0.06169730797410011,27326,1.674631538880623e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,958494152,4.8078550310984474e-42,0.6624788641929626,0.019157225266098976,0.0017764506628736854,28005,1.6745768882405142e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,104,4.44491872883832e-42,0.6245893239974976,0.07612623274326324,-0.033472221344709396,28645,1.6746077168067294e-39,6,0,2,29,KBYG,large,left,large,right
AssetMarker,965354940,4.5528187105913307e-42,0.6595100164413452,0.05031442269682884,0.025007542222738266,31809,1.674610519403658e-39,6,0,2,29,KBYG,large,left,large,right
