asset_type,parent_name,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Marker,Grippy,0.6253964900970459,0.05551277473568916,-0.07114126533269882,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6545038819313049,0.02576197311282158,0.0337013378739357,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6655796766281128,0.020216481760144234,0.0075185843743383884,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6285791993141174,0.06014154106378555,-0.04343953728675842,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6253964900970459,0.05551277473568916,-0.07114126533269882,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6545038819313049,0.02576197311282158,0.0337013378739357,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6655796766281128,0.020216481760144234,0.0075185843743383884,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6285791993141174,0.06014154106378555,-0.04343953728675842,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6253498792648315,0.055541377514600754,-0.07110610604286194,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6545021533966064,0.02576659619808197,0.033730361610651016,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6655762195587158,0.020237157121300697,0.007549774367362261,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6285370588302612,0.060167938470840454,-0.04338286817073822,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6253498792648315,0.055541377514600754,-0.07110610604286194,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6545021533966064,0.02576659619808197,0.033730361610651016,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6655762195587158,0.020237157121300697,0.007549774367362261,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6285370588302612,0.060167938470840454,-0.04338286817073822,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.625302255153656,0.05555778369307518,-0.07105538994073868,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6545263528823853,0.025817789137363434,0.03375651687383652,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6655675768852234,0.020255813375115395,0.007567392196506262,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.628520131111145,0.060199957340955734,-0.04336865246295929,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.625302255153656,0.05555778369307518,-0.07105538994073868,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6545263528823853,0.025817789137363434,0.03375651687383652,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6655675768852234,0.020255813375115395,0.007567392196506262,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.628520131111145,0.060199957340955734,-0.04336865246295929,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6252460479736328,0.055601928383111954,-0.0709955096244812,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.654499888420105,0.025796184316277504,0.03380092605948448,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.665558397769928,0.02027692459523678,0.007602371275424957,6,0,1,13,GBYK,small,left,small,right
Marker,Grippy,0.6284141540527344,0.060282208025455475,-0.04325249791145325,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.6252460479736328,0.055601928383111954,-0.0709955096244812,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.654499888420105,0.025796184316277504,0.03380092605948448,6,0,1,13,GBYK,small,left,small,right
Marker,all,0.665558397769928,0.02027692459523678,0.007602371275424957,6,0,1,13,GBYK,small,left,small,right
