asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
RigidBody,1,0.6480446457862854,0.03966931253671646,-0.0213913731276989,0.019683441147208214,0.10766546428203583,0.007511613424867392,0.9939640164375305,0.0008437458891421556,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6480159759521484,0.03969018533825874,-0.021395713090896606,0.01972654089331627,0.10783038288354874,0.007305423729121685,0.9939467310905457,0.0008616087725386024,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479638814926147,0.039666034281253815,-0.02140115574002266,0.020198706537485123,0.10726490616798401,0.00897402223199606,0.9939848184585571,0.0008726853411644697,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479318737983704,0.03965652361512184,-0.02143256366252899,0.02002890780568123,0.10737070441246033,0.008987250737845898,0.9939767122268677,0.0008708105888217688,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.647922933101654,0.03964577615261078,-0.021455658599734306,0.01985628716647625,0.10741706937551498,0.008955361321568489,0.9939754605293274,0.0008700087782926857,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479044556617737,0.039626698940992355,-0.021477045491337776,0.01968478411436081,0.10746214538812637,0.00870882160961628,0.9939761161804199,0.0008659934974275529,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.647899866104126,0.03962579742074013,-0.02149154432117939,0.019612472504377365,0.10763268917798996,0.008634848520159721,0.9939597845077515,0.0008673202246427536,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478849649429321,0.039633989334106445,-0.021489817649126053,0.019817398861050606,0.10768412798643112,0.008721308782696724,0.9939494132995605,0.0008665515924803913,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478602290153503,0.03963920846581459,-0.021507438272237778,0.020178819075226784,0.10756910592317581,0.009395136497914791,0.9939484596252441,0.000876855046954006,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478611826896667,0.03965375944972038,-0.021489780396223068,0.02106575481593609,0.1071234866976738,0.010076929815113544,0.9939715266227722,0.0008656649151816964,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478472352027893,0.039678215980529785,-0.02147139608860016,0.021533144637942314,0.1071225106716156,0.010241866111755371,0.993959903717041,0.0008673752890899777,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478409171104431,0.039699383080005646,-0.021455124020576477,0.021831605583429336,0.10714619606733322,0.010478463023900986,0.9939483404159546,0.00087092409376055,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478311419487,0.03972765430808067,-0.021417580544948578,0.022242015227675438,0.10736264288425446,0.010445965453982353,0.9939162135124207,0.0008662170730531216,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478155255317688,0.03973964601755142,-0.021398354321718216,0.022373121231794357,0.10742513835430145,0.010497843846678734,0.9939059615135193,0.0008665925124660134,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477729678153992,0.03973688930273056,-0.021385159343481064,0.022825079038739204,0.1069159209728241,0.011879712343215942,0.9939350485801697,0.000880936102475971,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477651000022888,0.03974248841404915,-0.02136918529868126,0.023016611114144325,0.10681947320699692,0.012146150693297386,0.9939378499984741,0.0008810224244371057,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477938294410706,0.03976491093635559,-0.021349690854549408,0.022618770599365234,0.10737944394350052,0.010768932290375233,0.9939025044441223,0.0008692265837453306,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477603316307068,0.03975547477602959,-0.021345749497413635,0.022856399416923523,0.106974758207798,0.011629313230514526,0.9939310550689697,0.0008799812057986856,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.647760272026062,0.03976169601082802,-0.021325908601284027,0.02285219170153141,0.10689081996679306,0.011627045460045338,0.9939401149749756,0.0008794412715360522,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477539539337158,0.03976823017001152,-0.021299930289387703,0.0229421928524971,0.10687585175037384,0.011841358616948128,0.9939371347427368,0.0008799656643532217,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477766036987305,0.039784450083971024,-0.021267656236886978,0.022577503696084022,0.1075797751545906,0.010391317307949066,0.9938858151435852,0.0008662689942866564,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477794647216797,0.03978348895907402,-0.021241720765829086,0.022647079080343246,0.10766199231147766,0.010413493029773235,0.9938750863075256,0.000864728819578886,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477893590927124,0.03977486863732338,-0.021213483065366745,0.022795671597123146,0.10755764693021774,0.010941606014966965,0.9938773512840271,0.0008455035858787596,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477811336517334,0.03979307413101196,-0.021223489195108414,0.022651806473731995,0.10770182311534882,0.010645836591720581,0.9938681721687317,0.0008667607908137143,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477782726287842,0.03979791700839996,-0.02122228778898716,0.022583680227398872,0.10789011418819427,0.01036155503243208,0.9938522577285767,0.0008656558347865939,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477822065353394,0.0397954136133194,-0.021225716918706894,0.022501710802316666,0.10792724788188934,0.01029141340404749,0.993850827217102,0.0008620279259048402,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477934122085571,0.0397854819893837,-0.02124735713005066,0.022397737950086594,0.10781541466712952,0.010504086501896381,0.9938631057739258,0.0008624819456599653,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6477997899055481,0.03977024555206299,-0.021276697516441345,0.022147146984934807,0.10785465687513351,0.010185529477894306,0.993867814540863,0.0008602466550655663,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478097438812256,0.03975227102637291,-0.021302150562405586,0.02204989083111286,0.10761790722608566,0.010151476599276066,0.993895947933197,0.0008602779707871377,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478150486946106,0.03974208980798721,-0.021317798644304275,0.021939385682344437,0.10759478062391281,0.010025734081864357,0.9939022064208984,0.0008604208123870194,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478294730186462,0.03973780944943428,-0.02133912593126297,0.02173023670911789,0.10762766748666763,0.009956725873053074,0.9939039349555969,0.0008547757752239704,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478336453437805,0.03973153233528137,-0.021352406591176987,0.021535998210310936,0.10754463821649551,0.009633108042180538,0.9939203262329102,0.0008551513310521841,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478355526924133,0.039731770753860474,-0.021364305168390274,0.021435333415865898,0.10740447789430618,0.009502893313765526,0.9939389228820801,0.0008537725079804659,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478440165519714,0.039724525064229965,-0.02136429399251938,0.02146943099796772,0.10740500688552856,0.009500207379460335,0.9939380884170532,0.0008537867106497288,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478447318077087,0.03970678150653839,-0.021336544305086136,0.021661417558789253,0.10734029114246368,0.009833675809204578,0.9939377307891846,0.0008363407687284052,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478375792503357,0.03971364349126816,-0.02137020416557789,0.021339604631066322,0.10733471065759659,0.00945332832634449,0.9939489364624023,0.0008600323926657438,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478428840637207,0.03973173722624779,-0.0213356651365757,0.02143184281885624,0.10746951401233673,0.009386665187776089,0.9939330220222473,0.0008529052138328552,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478477716445923,0.03973972052335739,-0.021323537454009056,0.02141871117055416,0.10753081738948822,0.009331276640295982,0.9939271807670593,0.0008547271718271077,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6478614211082458,0.03973007574677467,-0.021276455372571945,0.021657980978488922,0.10742781311273575,0.009798220358788967,0.9939286708831787,0.0008359206258319318,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479048132896423,0.039740122854709625,-0.021265264600515366,0.020369691774249077,0.10870794206857681,0.0070785777643322945,0.9938398003578186,0.0008375699399039149,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479120850563049,0.03974123299121857,-0.021257415413856506,0.020061001181602478,0.10881152749061584,0.006410679314285517,0.9938393235206604,0.0008342674118466675,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479282379150391,0.03974412381649017,-0.021256450563669205,0.019841497763991356,0.10875923931598663,0.006567295175045729,0.9938483834266663,0.0008315919549204409,1,6,0,1,24,GBYK,large,left,large,right
RigidBody,1,0.6479486227035522,0.039756108075380325,-0.021244890987873077,0.019432352855801582,0.10864868015050888,0.006634997203946114,0.9938681721687317,0.0008274981519207358,1,6,0,1,24,GBYK,large,left,large,right
