asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,104,4.244533048439871e-42,0.6607974767684937,0.04975730925798416,0.018582072108983993,20011,1.6746161245975153e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,965432731,4.390268088729652e-42,0.6255939602851868,0.05983017757534981,-0.06994980573654175,-12847,1.67462733498523e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,963151020,4.391669387193977e-42,0.6347923874855041,0.06474415957927704,-0.042311232537031174,15620,1.6746091181051937e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,965384169,4.44211613190967e-42,0.670195996761322,0.018171072006225586,0.004254525061696768,8545,1.6746007103144078e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,104,4.244533048439871e-42,0.6609901189804077,0.04976177588105202,0.018703775480389595,20853,1.6746161245975153e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,965473637,4.390268088729652e-42,0.6259726881980896,0.060165371745824814,-0.0698646754026413,-12572,1.67462733498523e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,960705336,4.391669387193977e-42,0.6351056694984436,0.06499744206666946,-0.04221003130078316,15640,1.6746091181051937e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,965500880,4.44211613190967e-42,0.6703407764434814,0.018227312713861465,0.004305807873606682,5512,1.6746007103144078e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,104,4.244533048439871e-42,0.661186695098877,0.04978078603744507,0.018796604126691818,21116,1.6746161245975153e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,966989640,4.390268088729652e-42,0.6262117624282837,0.0605466328561306,-0.06975745409727097,-11868,1.67462733498523e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,962100849,4.391669387193977e-42,0.6354150176048279,0.06522772461175919,-0.042083412408828735,16005,1.6746091181051937e-39,6,0,2,20,KBYG,small,left,large,right
AssetMarker,967661733,4.44211613190967e-42,0.6704564690589905,0.018242863938212395,0.0043687643483281136,2515,1.6746007103144078e-39,6,0,2,20,KBYG,small,left,large,right
