asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,104,9.183689745645554e-41,0.6201818585395813,0.07299523055553436,-0.06393001228570938,-17926,1.4857888023483262e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,964825645,9.183970005338419e-41,0.6641942262649536,0.017918571829795837,0.004493091255426407,6422,1.4857861118552747e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,948025236,9.184110135184851e-41,0.6316734552383423,0.07402569055557251,-0.035745471715927124,-29561,1.4857873449979233e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,966268279,2.993173519797809e-42,0.6648191809654236,0.05039520934224129,0.026639137417078018,-16870,1.6746161245975153e-39,6,0,1,49,GBYK,large,right,large,left
AssetMarker,104,9.183689745645554e-41,0.620148241519928,0.0729384571313858,-0.06391888856887817,-17863,1.4857888023483262e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,963068270,9.183970005338419e-41,0.6641961336135864,0.017935454845428467,0.004483284428715706,6313,1.4857861118552747e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,947463245,9.184110135184851e-41,0.6316505670547485,0.07399187237024307,-0.035753604024648666,-29476,1.4857873449979233e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,966297874,2.993173519797809e-42,0.6648092269897461,0.05039500817656517,0.026630446314811706,-16680,1.6746161245975153e-39,6,0,1,49,GBYK,large,right,large,left
AssetMarker,104,9.183689745645554e-41,0.620098888874054,0.07289452850818634,-0.06389211863279343,-17800,1.4857888023483262e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,962984207,9.183970005338419e-41,0.6641873717308044,0.01794675551354885,0.004492092411965132,6204,1.4857861118552747e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,946217076,9.184110135184851e-41,0.6315357089042664,0.07390881329774857,-0.035746023058891296,-29045,1.4857873449979233e-37,6,0,1,49,GBYK,large,right,large,left
AssetMarker,966463410,2.993173519797809e-42,0.6647980809211731,0.05039236694574356,0.02663334831595421,-16490,1.6746161245975153e-39,6,0,1,49,GBYK,large,right,large,left
AssetMarker,104,9.183689745645554e-41,0.6200466752052307,0.0728488564491272,-0.0638529434800148,-17473,1.4857888023483262e-37,6,0,1,49,GBYK,large,right,large,left
