asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.6584751009941101,0.05089666694402695,0.02858959138393402,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584698557853699,0.05089757218956947,0.02860618196427822,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584663391113281,0.05090033262968063,0.028631756082177162,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584600806236267,0.05089708790183067,0.028650132939219475,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584583520889282,0.05089138448238373,0.028658486902713776,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584538817405701,0.05089376121759415,0.028679432347416878,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658456027507782,0.05089407041668892,0.02869771048426628,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584509611129761,0.05090315267443657,0.02873251959681511,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584517359733582,0.05090148001909256,0.02875535376369953,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584441065788269,0.05090349540114403,0.028771759942173958,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584367752075195,0.050897322595119476,0.028785506263375282,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584320664405823,0.050901830196380615,0.028808709233999252,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584287285804749,0.050910986959934235,0.02882111445069313,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584275960922241,0.05090901628136635,0.02882876805961132,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584322452545166,0.050909340381622314,0.02882399410009384,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584334969520569,0.05091339722275734,0.028831033036112785,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.65843665599823,0.05091363936662674,0.028831608593463898,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584410071372986,0.050910428166389465,0.028818128630518913,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584523320198059,0.05091366916894913,0.028812671080231667,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584579944610596,0.050906818360090256,0.028798537328839302,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584715247154236,0.0509047731757164,0.028796277940273285,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584761738777161,0.05090893805027008,0.02879258804023266,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658478319644928,0.050909433513879776,0.02879302389919758,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584765315055847,0.05090438947081566,0.02878488041460514,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.65847247838974,0.05090305209159851,0.028783243149518967,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584724187850952,0.050903599709272385,0.02879389002919197,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584707498550415,0.05089897662401199,0.028794098645448685,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584711670875549,0.05090240761637688,0.028784269466996193,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584688425064087,0.0508982315659523,0.02878403849899769,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584687232971191,0.05089988559484482,0.028791841119527817,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6584685444831848,0.05089881643652916,0.028800539672374725,6,0,1,55,GBYK,small,right,large,left
