asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
RigidBody,1,0.6373255848884583,0.04408622533082962,-0.019160041585564613,-0.04915178194642067,-0.20138518512248993,0.08763863891363144,-0.9743446707725525,0.0014045706484466791,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.637299656867981,0.044061556458473206,-0.01914840005338192,-0.04986674338579178,-0.20171719789505005,0.08753088861703873,-0.9742494225502014,0.0013970889849588275,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6372724175453186,0.044079408049583435,-0.019128134474158287,-0.05008304864168167,-0.20211778581142425,0.08752495795488358,-0.974155843257904,0.0013968460261821747,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6372526288032532,0.044090352952480316,-0.019097235053777695,-0.05045413225889206,-0.202622652053833,0.08746418356895447,-0.9740371704101562,0.0013817178551107645,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6372125148773193,0.044103577733039856,-0.0190811138600111,-0.0507388599216938,-0.20276635885238647,0.08723865449428558,-0.9740127921104431,0.0013818820007145405,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6371623873710632,0.044143497943878174,-0.01906680129468441,-0.05041817203164101,-0.20358523726463318,0.08766572177410126,-0.9738202095031738,0.0014095763908699155,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6371423602104187,0.04414581507444382,-0.019033217802643776,-0.05121556669473648,-0.203316792845726,0.08693798631429672,-0.9738999009132385,0.0013978977221995592,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6371150016784668,0.04415341094136238,-0.0190290454775095,-0.050797369331121445,-0.20423129200935364,0.08755594491958618,-0.9736750721931458,0.0014070637989789248,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6370977163314819,0.04416108503937721,-0.019016355276107788,-0.050767816603183746,-0.20440314710140228,0.08767743408679962,-0.9736296534538269,0.0014029322192072868,1,6,0,2,48,KBYG,small,left,small,right
RigidBody,1,0.6370853185653687,0.04416545853018761,-0.018999546766281128,-0.05078950151801109,-0.2043711692094803,0.08736070245504379,-0.9736637473106384,0.00140657857991755,1,6,0,2,48,KBYG,small,left,small,right
