asset_type,parent_name,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Marker,Grippy,0.6312596201896667,0.055763792246580124,-0.07413960248231888,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6544530391693115,0.025851160287857056,0.03208409249782562,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6656761765480041,0.019146451726555824,0.006133731454610825,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6340442299842834,0.06063773110508919,-0.04595637694001198,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6312596201896667,0.055763792246580124,-0.07413960248231888,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6544530391693115,0.025851160287857056,0.03208409249782562,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6656761765480041,0.019146451726555824,0.006133731454610825,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6340442299842834,0.06063773110508919,-0.04595637694001198,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6312392950057983,0.055787134915590286,-0.07418176531791687,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6544495820999146,0.025858372449874878,0.03207337483763695,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.665666401386261,0.019142119213938713,0.006140055600553751,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6340650320053101,0.06061435863375664,-0.04595925286412239,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6312392950057983,0.055787134915590286,-0.07418176531791687,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6544495820999146,0.025858372449874878,0.03207337483763695,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.665666401386261,0.019142119213938713,0.006140055600553751,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6340650320053101,0.06061435863375664,-0.04595925286412239,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6312705874443054,0.05569835007190704,-0.07411547750234604,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6546350121498108,0.02606060914695263,0.03216562420129776,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6657273769378662,0.019190311431884766,0.006212863139808178,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6342164278030396,0.060623496770858765,-0.04593775048851967,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6312705874443054,0.05569835007190704,-0.07411547750234604,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6546350121498108,0.02606060914695263,0.03216562420129776,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6657273769378662,0.019190311431884766,0.006212863139808178,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6342164278030396,0.060623496770858765,-0.04593775048851967,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6312844157218933,0.05567489564418793,-0.07410366833209991,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6546750068664551,0.026088951155543327,0.03218110278248787,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6657366156578064,0.019190186634659767,0.006218782160431147,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6342465877532959,0.06061657890677452,-0.045921485871076584,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6312844157218933,0.05567489564418793,-0.07410366833209991,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6546750068664551,0.026088951155543327,0.03218110278248787,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6657366156578064,0.019190186634659767,0.006218782160431147,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6342465877532959,0.06061657890677452,-0.045921485871076584,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6313145756721497,0.05567184463143349,-0.07408523559570312,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6546753644943237,0.026105379685759544,0.03219321370124817,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6657201051712036,0.019195595756173134,0.006220138631761074,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6342852115631104,0.06061508134007454,-0.045913487672805786,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6313145756721497,0.05567184463143349,-0.07408523559570312,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6546753644943237,0.026105379685759544,0.03219321370124817,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6657201051712036,0.019195595756173134,0.006220138631761074,6,0,1,27,GBYK,small,right,large,left
Marker,all,0.6342852115631104,0.06061508134007454,-0.045913487672805786,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.6313444375991821,0.05567431449890137,-0.07407579571008682,6,0,1,27,GBYK,small,right,large,left
Marker,Grippy,0.654715895652771,0.02612542361021042,0.03220008313655853,6,0,1,27,GBYK,small,right,large,left
