asset_type,parent_name,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Marker,Grippy,0.6339012980461121,0.05185450613498688,-0.0722416564822197,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6626523733139038,0.02669980563223362,0.03386092185974121,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.673991858959198,0.020499730482697487,0.007898466661572456,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6369140148162842,0.05733727291226387,-0.04466672241687775,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6339012980461121,0.05185450613498688,-0.0722416564822197,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6626523733139038,0.02669980563223362,0.03386092185974121,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.673991858959198,0.020499730482697487,0.007898466661572456,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6369140148162842,0.05733727291226387,-0.04466672241687775,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.633854866027832,0.05183359608054161,-0.07224670052528381,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6626497507095337,0.02678072825074196,0.03384566307067871,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6739751696586609,0.02050536684691906,0.007881708443164825,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6368587017059326,0.05739251896739006,-0.04473622515797615,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.633854866027832,0.05183359608054161,-0.07224670052528381,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6626497507095337,0.02678072825074196,0.03384566307067871,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6739751696586609,0.02050536684691906,0.007881708443164825,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6368587017059326,0.05739251896739006,-0.04473622515797615,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6338076591491699,0.051801152527332306,-0.0722549557685852,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6626594662666321,0.02673281356692314,0.03383748233318329,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6739619374275208,0.020503219217061996,0.00786571204662323,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6368554830551147,0.057306692004203796,-0.04468768462538719,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6338076591491699,0.051801152527332306,-0.0722549557685852,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6626594662666321,0.02673281356692314,0.03383748233318329,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6739619374275208,0.020503219217061996,0.00786571204662323,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6368554830551147,0.057306692004203796,-0.04468768462538719,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6337716579437256,0.05177367478609085,-0.07225430756807327,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6626454591751099,0.026716604828834534,0.03382526338100433,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6739394068717957,0.020489396527409553,0.007846948690712452,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6368221640586853,0.057284899055957794,-0.04469674453139305,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6337716579437256,0.05177367478609085,-0.07225430756807327,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6626454591751099,0.026716604828834534,0.03382526338100433,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6739394068717957,0.020489396527409553,0.007846948690712452,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6368221640586853,0.057284899055957794,-0.04469674453139305,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.633739709854126,0.05174044892191887,-0.07226472347974777,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.662689208984375,0.026806829497218132,0.03380690515041351,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6739257574081421,0.020475391298532486,0.007822231389582157,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6368369460105896,0.057322025299072266,-0.04475807026028633,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.633739709854126,0.05174044892191887,-0.07226472347974777,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.662689208984375,0.026806829497218132,0.03380690515041351,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6739257574081421,0.020475391298532486,0.007822231389582157,6,0,1,6,GBYK,small,right,small,left
Marker,all,0.6368369460105896,0.057322025299072266,-0.04475807026028633,6,0,1,6,GBYK,small,right,small,left
Marker,Grippy,0.6337308287620544,0.05171976238489151,-0.07228170335292816,6,0,1,6,GBYK,small,right,small,left
