asset_type,parent_name,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Marker,Grippy,0.6119316816329956,0.08261048048734665,-0.058939266949892044,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6542491912841797,0.023910365998744965,0.02992391772568226,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6574373841285706,0.018771663308143616,0.0021743096876889467,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6239737868309021,0.08003644645214081,-0.03059461899101734,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6119316816329956,0.08261048048734665,-0.058939266949892044,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6542491912841797,0.023910365998744965,0.02992391772568226,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6574373841285706,0.018771663308143616,0.0021743096876889467,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6239737868309021,0.08003644645214081,-0.03059461899101734,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.612055242061615,0.08269461244344711,-0.05890321359038353,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6541818380355835,0.023869849741458893,0.029937375336885452,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6574318408966064,0.018771357834339142,0.002181469462811947,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6240188479423523,0.0800803005695343,-0.030577102676033974,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.612055242061615,0.08269461244344711,-0.05890321359038353,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6541818380355835,0.023869849741458893,0.029937375336885452,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6574318408966064,0.018771357834339142,0.002181469462811947,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6240188479423523,0.0800803005695343,-0.030577102676033974,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.612119197845459,0.08276442438364029,-0.05890538543462753,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6541932821273804,0.023894578218460083,0.02993432804942131,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6574541330337524,0.018804632127285004,0.002180468523874879,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6240754127502441,0.08012901246547699,-0.030575159937143326,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.612119197845459,0.08276442438364029,-0.05890538543462753,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6541932821273804,0.023894578218460083,0.02993432804942131,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6574541330337524,0.018804632127285004,0.002180468523874879,6,0,2,24,KBYG,large,right,small,left
Marker,all,0.6240754127502441,0.08012901246547699,-0.030575159937143326,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6121990084648132,0.0828498974442482,-0.05893181264400482,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6541580557823181,0.023888403549790382,0.02991885505616665,6,0,2,24,KBYG,large,right,small,left
Marker,Grippy,0.6574392318725586,0.018801899626851082,0.0021686332765966654,6,0,2,24,KBYG,large,right,small,left
