asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.6109772324562073,0.06294824928045273,-0.03101241961121559,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6031310558319092,0.0626557394862175,-0.0589294508099556,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465197801589966,0.049354493618011475,0.031428493559360504,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652582883834839,0.021605173125863075,0.0021935163531452417,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.610977292060852,0.06292882561683655,-0.03103097528219223,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6031264662742615,0.06263525038957596,-0.058945950120687485,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465105414390564,0.0493532158434391,0.03142198920249939,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652477979660034,0.0216058362275362,0.002192647662013769,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6110066175460815,0.06290403008460999,-0.031076705083251,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6031521558761597,0.06260595470666885,-0.05898328125476837,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465175151824951,0.0493488609790802,0.031398992985486984,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652362942695618,0.021520284935832024,0.002133814850822091,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6110701560974121,0.06286269426345825,-0.031187819316983223,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6031798124313354,0.06258028745651245,-0.05901874229311943,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465388536453247,0.049327608197927475,0.0313655249774456,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652367115020752,0.021484054625034332,0.0021388919558376074,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6110988259315491,0.06285445392131805,-0.03120836801826954,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032034158706665,0.06257227808237076,-0.05904171243309975,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465524435043335,0.04932694882154465,0.03135053440928459,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652415990829468,0.021458769217133522,0.0021279407665133476,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6111076474189758,0.06284891813993454,-0.03120744600892067,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032179594039917,0.06257522851228714,-0.05903870612382889,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.64654541015625,0.04932591691613197,0.03135976567864418,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652562022209167,0.02147945947945118,0.0021278264466673136,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6111323833465576,0.06285678595304489,-0.031192762777209282,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032284498214722,0.06259077787399292,-0.05902732536196709,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465315222740173,0.04933854192495346,0.031386688351631165,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652787327766418,0.02147897332906723,0.00212973658926785,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6111436486244202,0.06288328766822815,-0.031171003356575966,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032389402389526,0.06262204796075821,-0.059010643512010574,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465354561805725,0.04933374002575874,0.03140968084335327,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652885675430298,0.021507371217012405,0.0021476794499903917,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6111552715301514,0.06289631128311157,-0.03115157224237919,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032554507255554,0.0626571848988533,-0.05899354815483093,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465458273887634,0.04932883381843567,0.03143987059593201,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.665300726890564,0.021508051082491875,0.0021551940590143204,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6111515164375305,0.06294409930706024,-0.03107442893087864,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032451391220093,0.06267858296632767,-0.058964915573596954,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6465041041374207,0.04927430301904678,0.03147820010781288,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6652986407279968,0.021516496315598488,0.002167901722714305,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6111071109771729,0.06295675784349442,-0.030978331342339516,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032348871231079,0.0626964122056961,-0.05893411859869957,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6464458107948303,0.04929327219724655,0.03157532215118408,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6653020977973938,0.0215374194085598,0.002178327413275838,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6110954284667969,0.062930166721344,-0.030976535752415657,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032156348228455,0.06271277368068695,-0.05890927091240883,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6464300155639648,0.049277663230895996,0.031606387346982956,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6653134226799011,0.02157861925661564,0.0022215310018509626,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6110765933990479,0.0629333034157753,-0.030960947275161743,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6032006740570068,0.062726229429245,-0.05889857932925224,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6464197039604187,0.04927266389131546,0.031621236354112625,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6653074622154236,0.021541794762015343,0.0022018635645508766,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6110759377479553,0.06293453276157379,-0.03094894252717495,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6031821966171265,0.06273512542247772,-0.05888695269823074,6,0,2,56,KBYG,small,left,large,right
LegacyMarker,0.6464060544967651,0.0492720827460289,0.031642213463783264,6,0,2,56,KBYG,small,left,large,right
