asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,38437,6,0,1,23,GBYK,small,right,small,left
Prefix,38438,6,0,1,23,GBYK,small,right,small,left
Prefix,38439,6,0,1,23,GBYK,small,right,small,left
Prefix,38440,6,0,1,23,GBYK,small,right,small,left
Prefix,38441,6,0,1,23,GBYK,small,right,small,left
Prefix,38442,6,0,1,23,GBYK,small,right,small,left
Prefix,38443,6,0,1,23,GBYK,small,right,small,left
Prefix,38444,6,0,1,23,GBYK,small,right,small,left
Prefix,38445,6,0,1,23,GBYK,small,right,small,left
Prefix,38446,6,0,1,23,GBYK,small,right,small,left
Prefix,38447,6,0,1,23,GBYK,small,right,small,left
Prefix,38448,6,0,1,23,GBYK,small,right,small,left
Prefix,38449,6,0,1,23,GBYK,small,right,small,left
Prefix,38450,6,0,1,23,GBYK,small,right,small,left
Prefix,38451,6,0,1,23,GBYK,small,right,small,left
Prefix,38452,6,0,1,23,GBYK,small,right,small,left
Prefix,38453,6,0,1,23,GBYK,small,right,small,left
Prefix,38454,6,0,1,23,GBYK,small,right,small,left
Prefix,38455,6,0,1,23,GBYK,small,right,small,left
Prefix,38456,6,0,1,23,GBYK,small,right,small,left
Prefix,38457,6,0,1,23,GBYK,small,right,small,left
Prefix,38458,6,0,1,23,GBYK,small,right,small,left
Prefix,38459,6,0,1,23,GBYK,small,right,small,left
Prefix,38460,6,0,1,23,GBYK,small,right,small,left
Prefix,38461,6,0,1,23,GBYK,small,right,small,left
Prefix,38462,6,0,1,23,GBYK,small,right,small,left
Prefix,38463,6,0,1,23,GBYK,small,right,small,left
Prefix,38464,6,0,1,23,GBYK,small,right,small,left
Prefix,38465,6,0,1,23,GBYK,small,right,small,left
Prefix,38466,6,0,1,23,GBYK,small,right,small,left
Prefix,38467,6,0,1,23,GBYK,small,right,small,left
Prefix,38468,6,0,1,23,GBYK,small,right,small,left
Prefix,38469,6,0,1,23,GBYK,small,right,small,left
Prefix,38470,6,0,1,23,GBYK,small,right,small,left
Prefix,38471,6,0,1,23,GBYK,small,right,small,left
Prefix,38472,6,0,1,23,GBYK,small,right,small,left
Prefix,38473,6,0,1,23,GBYK,small,right,small,left
Prefix,38474,6,0,1,23,GBYK,small,right,small,left
Prefix,38475,6,0,1,23,GBYK,small,right,small,left
Prefix,38476,6,0,1,23,GBYK,small,right,small,left
Prefix,38477,6,0,1,23,GBYK,small,right,small,left
Prefix,38478,6,0,1,23,GBYK,small,right,small,left
Prefix,38479,6,0,1,23,GBYK,small,right,small,left
Prefix,38480,6,0,1,23,GBYK,small,right,small,left
Prefix,38481,6,0,1,23,GBYK,small,right,small,left
Prefix,38482,6,0,1,23,GBYK,small,right,small,left
Prefix,38483,6,0,1,23,GBYK,small,right,small,left
Prefix,38484,6,0,1,23,GBYK,small,right,small,left
Prefix,38485,6,0,1,23,GBYK,small,right,small,left
Prefix,38486,6,0,1,23,GBYK,small,right,small,left
Prefix,38487,6,0,1,23,GBYK,small,right,small,left
Prefix,38488,6,0,1,23,GBYK,small,right,small,left
Prefix,38489,6,0,1,23,GBYK,small,right,small,left
Prefix,38490,6,0,1,23,GBYK,small,right,small,left
Prefix,38491,6,0,1,23,GBYK,small,right,small,left
Prefix,38492,6,0,1,23,GBYK,small,right,small,left
Prefix,38493,6,0,1,23,GBYK,small,right,small,left
Prefix,38494,6,0,1,23,GBYK,small,right,small,left
Prefix,38495,6,0,1,23,GBYK,small,right,small,left
Prefix,38496,6,0,1,23,GBYK,small,right,small,left
Prefix,38497,6,0,1,23,GBYK,small,right,small,left
Prefix,38498,6,0,1,23,GBYK,small,right,small,left
Prefix,38499,6,0,1,23,GBYK,small,right,small,left
Prefix,38500,6,0,1,23,GBYK,small,right,small,left
Prefix,38501,6,0,1,23,GBYK,small,right,small,left
Prefix,38502,6,0,1,23,GBYK,small,right,small,left
Prefix,38503,6,0,1,23,GBYK,small,right,small,left
Prefix,38504,6,0,1,23,GBYK,small,right,small,left
Prefix,38505,6,0,1,23,GBYK,small,right,small,left
Prefix,38506,6,0,1,23,GBYK,small,right,small,left
Prefix,38507,6,0,1,23,GBYK,small,right,small,left
Prefix,38508,6,0,1,23,GBYK,small,right,small,left
Prefix,38509,6,0,1,23,GBYK,small,right,small,left
Prefix,38510,6,0,1,23,GBYK,small,right,small,left
Prefix,38511,6,0,1,23,GBYK,small,right,small,left
Prefix,38512,6,0,1,23,GBYK,small,right,small,left
Prefix,38513,6,0,1,23,GBYK,small,right,small,left
Prefix,38514,6,0,1,23,GBYK,small,right,small,left
Prefix,38515,6,0,1,23,GBYK,small,right,small,left
Prefix,38516,6,0,1,23,GBYK,small,right,small,left
Prefix,38517,6,0,1,23,GBYK,small,right,small,left
Prefix,38518,6,0,1,23,GBYK,small,right,small,left
Prefix,38519,6,0,1,23,GBYK,small,right,small,left
Prefix,38520,6,0,1,23,GBYK,small,right,small,left
Prefix,38521,6,0,1,23,GBYK,small,right,small,left
Prefix,38522,6,0,1,23,GBYK,small,right,small,left
Prefix,38523,6,0,1,23,GBYK,small,right,small,left
Prefix,38524,6,0,1,23,GBYK,small,right,small,left
Prefix,38525,6,0,1,23,GBYK,small,right,small,left
Prefix,38526,6,0,1,23,GBYK,small,right,small,left
Prefix,38527,6,0,1,23,GBYK,small,right,small,left
Prefix,38528,6,0,1,23,GBYK,small,right,small,left
Prefix,38529,6,0,1,23,GBYK,small,right,small,left
Prefix,38530,6,0,1,23,GBYK,small,right,small,left
Prefix,38531,6,0,1,23,GBYK,small,right,small,left
Prefix,38532,6,0,1,23,GBYK,small,right,small,left
Prefix,38533,6,0,1,23,GBYK,small,right,small,left
Prefix,38534,6,0,1,23,GBYK,small,right,small,left
Prefix,38535,6,0,1,23,GBYK,small,right,small,left
Prefix,38536,6,0,1,23,GBYK,small,right,small,left
Prefix,38537,6,0,1,23,GBYK,small,right,small,left
Prefix,38538,6,0,1,23,GBYK,small,right,small,left
Prefix,38539,6,0,1,23,GBYK,small,right,small,left
Prefix,38540,6,0,1,23,GBYK,small,right,small,left
Prefix,38541,6,0,1,23,GBYK,small,right,small,left
Prefix,38542,6,0,1,23,GBYK,small,right,small,left
Prefix,38543,6,0,1,23,GBYK,small,right,small,left
Prefix,38544,6,0,1,23,GBYK,small,right,small,left
Prefix,38545,6,0,1,23,GBYK,small,right,small,left
Prefix,38546,6,0,1,23,GBYK,small,right,small,left
Prefix,38547,6,0,1,23,GBYK,small,right,small,left
Prefix,38548,6,0,1,23,GBYK,small,right,small,left
Prefix,38549,6,0,1,23,GBYK,small,right,small,left
Prefix,38550,6,0,1,23,GBYK,small,right,small,left
Prefix,38551,6,0,1,23,GBYK,small,right,small,left
Prefix,38552,6,0,1,23,GBYK,small,right,small,left
Prefix,38553,6,0,1,23,GBYK,small,right,small,left
Prefix,38554,6,0,1,23,GBYK,small,right,small,left
Prefix,38555,6,0,1,23,GBYK,small,right,small,left
Prefix,38556,6,0,1,23,GBYK,small,right,small,left
Prefix,38557,6,0,1,23,GBYK,small,right,small,left
Prefix,38558,6,0,1,23,GBYK,small,right,small,left
Prefix,38559,6,0,1,23,GBYK,small,right,small,left
Prefix,38560,6,0,1,23,GBYK,small,right,small,left
Prefix,38561,6,0,1,23,GBYK,small,right,small,left
Prefix,38562,6,0,1,23,GBYK,small,right,small,left
Prefix,38563,6,0,1,23,GBYK,small,right,small,left
Prefix,38564,6,0,1,23,GBYK,small,right,small,left
Prefix,38565,6,0,1,23,GBYK,small,right,small,left
Prefix,38566,6,0,1,23,GBYK,small,right,small,left
Prefix,38567,6,0,1,23,GBYK,small,right,small,left
Prefix,38568,6,0,1,23,GBYK,small,right,small,left
Prefix,38569,6,0,1,23,GBYK,small,right,small,left
Prefix,38570,6,0,1,23,GBYK,small,right,small,left
Prefix,38571,6,0,1,23,GBYK,small,right,small,left
Prefix,38572,6,0,1,23,GBYK,small,right,small,left
Prefix,38573,6,0,1,23,GBYK,small,right,small,left
Prefix,38574,6,0,1,23,GBYK,small,right,small,left
Prefix,38575,6,0,1,23,GBYK,small,right,small,left
Prefix,38576,6,0,1,23,GBYK,small,right,small,left
Prefix,38577,6,0,1,23,GBYK,small,right,small,left
Prefix,38578,6,0,1,23,GBYK,small,right,small,left
Prefix,38579,6,0,1,23,GBYK,small,right,small,left
