asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,75860,6,0,1,59,GBYK,small,left,small,right
Prefix,75861,6,0,1,59,GBYK,small,left,small,right
Prefix,75862,6,0,1,59,GBYK,small,left,small,right
Prefix,75863,6,0,1,59,GBYK,small,left,small,right
Prefix,75864,6,0,1,59,GBYK,small,left,small,right
Prefix,75866,6,0,1,59,GBYK,small,left,small,right
Prefix,75867,6,0,1,59,GBYK,small,left,small,right
Prefix,75868,6,0,1,59,GBYK,small,left,small,right
Prefix,75869,6,0,1,59,GBYK,small,left,small,right
Prefix,75870,6,0,1,59,GBYK,small,left,small,right
Prefix,75871,6,0,1,59,GBYK,small,left,small,right
Prefix,75872,6,0,1,59,GBYK,small,left,small,right
Prefix,75873,6,0,1,59,GBYK,small,left,small,right
Prefix,75874,6,0,1,59,GBYK,small,left,small,right
Prefix,75875,6,0,1,59,GBYK,small,left,small,right
Prefix,75876,6,0,1,59,GBYK,small,left,small,right
Prefix,75877,6,0,1,59,GBYK,small,left,small,right
Prefix,75878,6,0,1,59,GBYK,small,left,small,right
Prefix,75881,6,0,1,59,GBYK,small,left,small,right
Prefix,75882,6,0,1,59,GBYK,small,left,small,right
Prefix,75883,6,0,1,59,GBYK,small,left,small,right
Prefix,75884,6,0,1,59,GBYK,small,left,small,right
Prefix,75885,6,0,1,59,GBYK,small,left,small,right
Prefix,75886,6,0,1,59,GBYK,small,left,small,right
Prefix,75887,6,0,1,59,GBYK,small,left,small,right
Prefix,75888,6,0,1,59,GBYK,small,left,small,right
Prefix,75889,6,0,1,59,GBYK,small,left,small,right
Prefix,75890,6,0,1,59,GBYK,small,left,small,right
Prefix,75891,6,0,1,59,GBYK,small,left,small,right
Prefix,75892,6,0,1,59,GBYK,small,left,small,right
Prefix,75893,6,0,1,59,GBYK,small,left,small,right
Prefix,75894,6,0,1,59,GBYK,small,left,small,right
Prefix,75895,6,0,1,59,GBYK,small,left,small,right
Prefix,75896,6,0,1,59,GBYK,small,left,small,right
Prefix,75897,6,0,1,59,GBYK,small,left,small,right
Prefix,75898,6,0,1,59,GBYK,small,left,small,right
Prefix,75899,6,0,1,59,GBYK,small,left,small,right
Prefix,75900,6,0,1,59,GBYK,small,left,small,right
Prefix,75901,6,0,1,59,GBYK,small,left,small,right
Prefix,75902,6,0,1,59,GBYK,small,left,small,right
Prefix,75903,6,0,1,59,GBYK,small,left,small,right
Prefix,75904,6,0,1,59,GBYK,small,left,small,right
Prefix,75905,6,0,1,59,GBYK,small,left,small,right
Prefix,75906,6,0,1,59,GBYK,small,left,small,right
Prefix,75907,6,0,1,59,GBYK,small,left,small,right
Prefix,75908,6,0,1,59,GBYK,small,left,small,right
Prefix,75909,6,0,1,59,GBYK,small,left,small,right
Prefix,75910,6,0,1,59,GBYK,small,left,small,right
Prefix,75911,6,0,1,59,GBYK,small,left,small,right
Prefix,75912,6,0,1,59,GBYK,small,left,small,right
Prefix,75913,6,0,1,59,GBYK,small,left,small,right
Prefix,75914,6,0,1,59,GBYK,small,left,small,right
Prefix,75915,6,0,1,59,GBYK,small,left,small,right
Prefix,75916,6,0,1,59,GBYK,small,left,small,right
Prefix,75917,6,0,1,59,GBYK,small,left,small,right
Prefix,75918,6,0,1,59,GBYK,small,left,small,right
Prefix,75919,6,0,1,59,GBYK,small,left,small,right
Prefix,75920,6,0,1,59,GBYK,small,left,small,right
Prefix,75921,6,0,1,59,GBYK,small,left,small,right
Prefix,75922,6,0,1,59,GBYK,small,left,small,right
