asset_type,parent_name,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Marker,Grippy,0.6262167096138,0.05536431446671486,-0.07067270576953888,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6634526252746582,0.026439907029271126,0.03145131468772888,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6700793504714966,0.01807100512087345,0.004364940337836742,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.633371889591217,0.060797810554504394,-0.044259946793317795,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262167096138,0.05536431446671486,-0.07067270576953888,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6634526252746582,0.026439907029271126,0.03145131468772888,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6700793504714966,0.01807100512087345,0.004364940337836742,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.633371889591217,0.060797810554504394,-0.044259946793317795,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6262087225914001,0.05536603927612305,-0.07066471874713898,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6634749174118042,0.026473738253116608,0.03145987540483475,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6700896620750427,0.018086880445480347,0.004380390979349613,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.633381187915802,0.06079749017953873,-0.044264353811740875,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262087225914001,0.05536603927612305,-0.07066471874713898,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6634749174118042,0.026473738253116608,0.03145987540483475,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6700896620750427,0.018086880445480347,0.004380390979349613,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.633381187915802,0.06079749017953873,-0.044264353811740875,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6262170076370239,0.05533159524202347,-0.0706842690706253,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6634751558303833,0.02647561766207218,0.03145328909158707,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.670098602771759,0.01809730753302574,0.0043749092146754265,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6333822011947632,0.06076473742723465,-0.04427579790353775,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262170076370239,0.05533159524202347,-0.0706842690706253,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6634751558303833,0.02647561766207218,0.03145328909158707,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.670098602771759,0.01809730753302574,0.0043749092146754265,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6333822011947632,0.06076473742723465,-0.04427579790353775,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6262195706367493,0.05529558286070824,-0.07069046050310135,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6634798049926758,0.02648819237947464,0.031452298164367676,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6700857877731323,0.018092377111315727,0.004374818876385689,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6333962082862854,0.060743678361177444,-0.044291362166404724,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262195706367493,0.05529558286070824,-0.07069046050310135,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6634798049926758,0.02648819237947464,0.031452298164367676,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6700857877731323,0.018092377111315727,0.004374818876385689,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6333962082862854,0.060743678361177444,-0.044291362166404724,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6262291073799133,0.055238235741853714,-0.07070145010948181,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6634867191314697,0.026489557698369026,0.03144856169819832,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.670087993144989,0.01808207482099533,0.0043715788051486015,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6334008574485779,0.060705725103616714,-0.0443132147192955,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262291073799133,0.055238235741853714,-0.07070145010948181,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6634867191314697,0.026489557698369026,0.03144856169819832,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.670087993144989,0.01808207482099533,0.0043715788051486015,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6334008574485779,0.060705725103616714,-0.0443132147192955,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6262152791023254,0.055206410586833954,-0.07069549709558487,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6634044051170349,0.026384733617305756,0.03144066780805588,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6700878739356995,0.01808260940015316,0.004364936146885157,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6333149671554565,0.06059473380446434,-0.04432050883769989,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262152791023254,0.055206410586833954,-0.07069549709558487,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6634044051170349,0.026384733617305756,0.03144066780805588,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6700878739356995,0.01808260940015316,0.004364936146885157,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6333149671554565,0.06059473380446434,-0.04432050883769989,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6262120008468628,0.055161744356155395,-0.07071702927350998,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6633975505828857,0.026381870731711388,0.03143087029457092,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6700838208198547,0.01807771995663643,0.0043559325858950615,6,0,2,9,KBYG,small,right,small,left
Marker,Grippy,0.6333145499229431,0.06056522578001022,-0.04433918744325638,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6262120008468628,0.055161744356155395,-0.07071702927350998,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6633975505828857,0.026381870731711388,0.03143087029457092,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6700838208198547,0.01807771995663643,0.0043559325858950615,6,0,2,9,KBYG,small,right,small,left
Marker,all,0.6333145499229431,0.06056522578001022,-0.04433918744325638,6,0,2,9,KBYG,small,right,small,left
