asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,102244,6,0,2,11,KBYG,small,right,large,left
Prefix,102245,6,0,2,11,KBYG,small,right,large,left
Prefix,102246,6,0,2,11,KBYG,small,right,large,left
Prefix,102247,6,0,2,11,KBYG,small,right,large,left
Prefix,102248,6,0,2,11,KBYG,small,right,large,left
Prefix,102249,6,0,2,11,KBYG,small,right,large,left
Prefix,102250,6,0,2,11,KBYG,small,right,large,left
Prefix,102251,6,0,2,11,KBYG,small,right,large,left
Prefix,102252,6,0,2,11,KBYG,small,right,large,left
Prefix,102253,6,0,2,11,KBYG,small,right,large,left
Prefix,102254,6,0,2,11,KBYG,small,right,large,left
Prefix,102255,6,0,2,11,KBYG,small,right,large,left
Prefix,102256,6,0,2,11,KBYG,small,right,large,left
Prefix,102257,6,0,2,11,KBYG,small,right,large,left
Prefix,102258,6,0,2,11,KBYG,small,right,large,left
Prefix,102259,6,0,2,11,KBYG,small,right,large,left
Prefix,102260,6,0,2,11,KBYG,small,right,large,left
Prefix,102261,6,0,2,11,KBYG,small,right,large,left
Prefix,102262,6,0,2,11,KBYG,small,right,large,left
Prefix,102263,6,0,2,11,KBYG,small,right,large,left
Prefix,102264,6,0,2,11,KBYG,small,right,large,left
Prefix,102265,6,0,2,11,KBYG,small,right,large,left
Prefix,102266,6,0,2,11,KBYG,small,right,large,left
Prefix,102267,6,0,2,11,KBYG,small,right,large,left
Prefix,102268,6,0,2,11,KBYG,small,right,large,left
Prefix,102269,6,0,2,11,KBYG,small,right,large,left
Prefix,102270,6,0,2,11,KBYG,small,right,large,left
Prefix,102271,6,0,2,11,KBYG,small,right,large,left
Prefix,102272,6,0,2,11,KBYG,small,right,large,left
Prefix,102273,6,0,2,11,KBYG,small,right,large,left
Prefix,102274,6,0,2,11,KBYG,small,right,large,left
Prefix,102275,6,0,2,11,KBYG,small,right,large,left
Prefix,102276,6,0,2,11,KBYG,small,right,large,left
Prefix,102277,6,0,2,11,KBYG,small,right,large,left
Prefix,102278,6,0,2,11,KBYG,small,right,large,left
Prefix,102279,6,0,2,11,KBYG,small,right,large,left
Prefix,102280,6,0,2,11,KBYG,small,right,large,left
Prefix,102281,6,0,2,11,KBYG,small,right,large,left
Prefix,102282,6,0,2,11,KBYG,small,right,large,left
Prefix,102283,6,0,2,11,KBYG,small,right,large,left
Prefix,102284,6,0,2,11,KBYG,small,right,large,left
Prefix,102285,6,0,2,11,KBYG,small,right,large,left
Prefix,102286,6,0,2,11,KBYG,small,right,large,left
Prefix,102287,6,0,2,11,KBYG,small,right,large,left
Prefix,102288,6,0,2,11,KBYG,small,right,large,left
Prefix,102289,6,0,2,11,KBYG,small,right,large,left
Prefix,102290,6,0,2,11,KBYG,small,right,large,left
Prefix,102291,6,0,2,11,KBYG,small,right,large,left
Prefix,102292,6,0,2,11,KBYG,small,right,large,left
Prefix,102293,6,0,2,11,KBYG,small,right,large,left
Prefix,102294,6,0,2,11,KBYG,small,right,large,left
Prefix,102295,6,0,2,11,KBYG,small,right,large,left
Prefix,102296,6,0,2,11,KBYG,small,right,large,left
Prefix,102297,6,0,2,11,KBYG,small,right,large,left
Prefix,102298,6,0,2,11,KBYG,small,right,large,left
Prefix,102299,6,0,2,11,KBYG,small,right,large,left
Prefix,102300,6,0,2,11,KBYG,small,right,large,left
Prefix,102301,6,0,2,11,KBYG,small,right,large,left
Prefix,102302,6,0,2,11,KBYG,small,right,large,left
Prefix,102303,6,0,2,11,KBYG,small,right,large,left
Prefix,102304,6,0,2,11,KBYG,small,right,large,left
Prefix,102305,6,0,2,11,KBYG,small,right,large,left
Prefix,102306,6,0,2,11,KBYG,small,right,large,left
Prefix,102307,6,0,2,11,KBYG,small,right,large,left
Prefix,102308,6,0,2,11,KBYG,small,right,large,left
Prefix,102309,6,0,2,11,KBYG,small,right,large,left
Prefix,102310,6,0,2,11,KBYG,small,right,large,left
Prefix,102311,6,0,2,11,KBYG,small,right,large,left
Prefix,102312,6,0,2,11,KBYG,small,right,large,left
Prefix,102313,6,0,2,11,KBYG,small,right,large,left
Prefix,102314,6,0,2,11,KBYG,small,right,large,left
Prefix,102315,6,0,2,11,KBYG,small,right,large,left
Prefix,102316,6,0,2,11,KBYG,small,right,large,left
Prefix,102317,6,0,2,11,KBYG,small,right,large,left
Prefix,102318,6,0,2,11,KBYG,small,right,large,left
Prefix,102319,6,0,2,11,KBYG,small,right,large,left
Prefix,102320,6,0,2,11,KBYG,small,right,large,left
Prefix,102321,6,0,2,11,KBYG,small,right,large,left
Prefix,102322,6,0,2,11,KBYG,small,right,large,left
Prefix,102323,6,0,2,11,KBYG,small,right,large,left
Prefix,102324,6,0,2,11,KBYG,small,right,large,left
Prefix,102325,6,0,2,11,KBYG,small,right,large,left
Prefix,102326,6,0,2,11,KBYG,small,right,large,left
Prefix,102327,6,0,2,11,KBYG,small,right,large,left
Prefix,102328,6,0,2,11,KBYG,small,right,large,left
Prefix,102329,6,0,2,11,KBYG,small,right,large,left
Prefix,102330,6,0,2,11,KBYG,small,right,large,left
Prefix,102331,6,0,2,11,KBYG,small,right,large,left
Prefix,102332,6,0,2,11,KBYG,small,right,large,left
Prefix,102333,6,0,2,11,KBYG,small,right,large,left
Prefix,102334,6,0,2,11,KBYG,small,right,large,left
Prefix,102335,6,0,2,11,KBYG,small,right,large,left
Prefix,102336,6,0,2,11,KBYG,small,right,large,left
Prefix,102337,6,0,2,11,KBYG,small,right,large,left
Prefix,102338,6,0,2,11,KBYG,small,right,large,left
Prefix,102339,6,0,2,11,KBYG,small,right,large,left
Prefix,102340,6,0,2,11,KBYG,small,right,large,left
Prefix,102341,6,0,2,11,KBYG,small,right,large,left
Prefix,102342,6,0,2,11,KBYG,small,right,large,left
Prefix,102343,6,0,2,11,KBYG,small,right,large,left
Prefix,102344,6,0,2,11,KBYG,small,right,large,left
Prefix,102345,6,0,2,11,KBYG,small,right,large,left
Prefix,102346,6,0,2,11,KBYG,small,right,large,left
Prefix,102347,6,0,2,11,KBYG,small,right,large,left
Prefix,102348,6,0,2,11,KBYG,small,right,large,left
Prefix,102349,6,0,2,11,KBYG,small,right,large,left
Prefix,102350,6,0,2,11,KBYG,small,right,large,left
Prefix,102351,6,0,2,11,KBYG,small,right,large,left
Prefix,102352,6,0,2,11,KBYG,small,right,large,left
Prefix,102353,6,0,2,11,KBYG,small,right,large,left
Prefix,102354,6,0,2,11,KBYG,small,right,large,left
Prefix,102355,6,0,2,11,KBYG,small,right,large,left
Prefix,102356,6,0,2,11,KBYG,small,right,large,left
Prefix,102357,6,0,2,11,KBYG,small,right,large,left
Prefix,102358,6,0,2,11,KBYG,small,right,large,left
