asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.6648191809654236,0.05039520934224129,0.026639137417078018,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6648092269897461,0.05039500817656517,0.026630446314811706,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647980809211731,0.05039236694574356,0.02663334831595421,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647566556930542,0.05034027621150017,0.026671605184674263,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647529602050781,0.05039973556995392,0.026665104553103447,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647402048110962,0.05039948597550392,0.026663975790143013,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647229790687561,0.050411298871040344,0.026681212708353996,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647358536720276,0.05040268227458,0.026688041165471077,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647588610649109,0.05040919780731201,0.02666993997991085,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6647933721542358,0.05040657892823219,0.026648227125406265,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6648229360580444,0.05040774494409561,0.026632102206349373,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6648526787757874,0.05040650814771652,0.026623865589499474,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.664907693862915,0.05038415640592575,0.02661607414484024,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649100184440613,0.05038102716207504,0.026606332510709763,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649197340011597,0.05038408562541008,0.026605311781167984,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649191379547119,0.05037479102611542,0.026614882051944733,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649134159088135,0.05037675425410271,0.026613671332597732,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649134159088135,0.05037974566221237,0.02661888673901558,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6648665070533752,0.05039237067103386,0.02663588523864746,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6648707389831543,0.050386350601911545,0.026641951873898506,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649175882339478,0.050358422100543976,0.0266252551227808,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649355888366699,0.05036179721355438,0.02662024274468422,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.664983332157135,0.05037924647331238,0.026598133146762848,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650160551071167,0.05037997290492058,0.026583053171634674,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650519967079163,0.050385914742946625,0.026589712128043175,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650907397270203,0.050418056547641754,0.026653263717889786,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651179790496826,0.05041895434260368,0.02666441723704338,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651363372802734,0.05043090507388115,0.02667342685163021,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651377081871033,0.05042804405093193,0.02668912336230278,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651120781898499,0.05043349415063858,0.02673649601638317,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650954484939575,0.05043415725231171,0.026778383180499077,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650773882865906,0.05043327435851097,0.026808489114046097,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650723814964294,0.05043492838740349,0.0268244706094265,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650656461715698,0.05043581500649452,0.02683817222714424,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650699973106384,0.05044015124440193,0.02684667333960533,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650872826576233,0.05043850466609001,0.026844587177038193,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651567220687866,0.0504022017121315,0.026820458471775055,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651915907859802,0.05040581896901131,0.026803622022271156,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.66517573595047,0.05043880268931389,0.02682880312204361,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6652358174324036,0.050398752093315124,0.02679852396249771,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.665255069732666,0.050406575202941894,0.026777559891343117,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6652498841285706,0.05039941146969795,0.026773270219564438,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.665225088596344,0.05039796233177185,0.02677527442574501,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651817560195923,0.05039207264780998,0.026773111894726753,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6651110053062439,0.05041680112481117,0.026789149269461632,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650785207748413,0.05041932314634323,0.026782967150211334,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650678515434265,0.05042395368218422,0.026763038709759712,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650242209434509,0.05037296190857887,0.026779692620038986,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650333404541016,0.05041069909930229,0.026753094047307968,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650453805923462,0.050423409789800644,0.02674923650920391,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650707721710205,0.05043535679578781,0.026739532127976417,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650822162628174,0.05043499171733856,0.026743084192276,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650716662406921,0.05042972415685654,0.026767024770379066,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650670766830444,0.050428032875061035,0.026789911091327667,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.665040135383606,0.05041605606675148,0.026820141822099686,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650484800338745,0.050329335033893585,0.026818769052624702,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649791598320007,0.05043534189462662,0.026844806969165802,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649511456489563,0.05038411542773247,0.0268753319978714,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649494171142578,0.050380002707242966,0.02687329426407814,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649668216705322,0.05038426071405411,0.026864411309361458,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650155186653137,0.05035897344350815,0.026837652549147606,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650979518890381,0.05038192495703697,0.02679012343287468,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650958061218262,0.05033767968416214,0.02679523639380932,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650609374046326,0.05036766827106476,0.02680615708231926,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650785207748413,0.050407230854034424,0.02678648568689823,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650705337524414,0.05040711164474487,0.026781592518091202,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650330424308777,0.050358351320028305,0.026805147528648376,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650217771530151,0.050362490117549896,0.026810040697455406,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649871468544006,0.05034927651286125,0.026827633380889893,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649313569068909,0.05036893114447594,0.0268472358584404,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649271249771118,0.050383780151605606,0.026829861104488373,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6649183034896851,0.05037573352456093,0.026867175474762917,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.664932370185852,0.05038003250956535,0.026875456795096397,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.664960503578186,0.05038059502840042,0.026876261457800865,6,0,1,49,GBYK,large,right,large,left
LegacyMarker,0.6650429964065552,0.05042280629277229,0.026830855756998062,6,0,1,49,GBYK,large,right,large,left
