asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
RigidBody,1,0.6418859362602234,0.04600457102060318,-0.01720467396080494,-0.08661002665758133,-0.22515247762203217,0.060867682099342346,-0.9685558080673218,0.0016401383327320218,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6418961882591248,0.046088702976703644,-0.017190465703606605,-0.08720999956130981,-0.22565120458602905,0.06204967200756073,-0.9683107733726501,0.0016332820523530245,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6419058442115784,0.04614753648638725,-0.01718153990805149,-0.08849401772022247,-0.22483201324939728,0.061322446912527084,-0.9684311747550964,0.0016363912727683783,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6419379711151123,0.04624823108315468,-0.017147494480013847,-0.08878190070390701,-0.22542844712734222,0.06178520992398262,-0.9682368040084839,0.0016246431041508913,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6419346332550049,0.04629678279161453,-0.017112843692302704,-0.08965248614549637,-0.22552119195461273,0.0617113932967186,-0.9681397080421448,0.001624816795811057,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6419296860694885,0.046339958906173706,-0.017060572281479835,-0.09045716375112534,-0.22570012509822845,0.06190086156129837,-0.9680109620094299,0.001637383596971631,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6419299244880676,0.0464024618268013,-0.01701536774635315,-0.09109554439783096,-0.22601400315761566,0.06196426972746849,-0.9678738117218018,0.0016457629390060902,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6418777108192444,0.04648420959711075,-0.016949376091361046,-0.09183253347873688,-0.2266504168510437,0.06201975420117378,-0.9676517844200134,0.00166460988111794,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6418565511703491,0.046552177518606186,-0.01690344139933586,-0.09243039786815643,-0.22705279290676117,0.06222246214747429,-0.9674875140190125,0.0016608801670372486,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6418132185935974,0.046627406030893326,-0.016877643764019012,-0.09337092190980911,-0.22699560225009918,0.06164863705635071,-0.9674473404884338,0.0016698017716407776,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417916417121887,0.04663839191198349,-0.01681872457265854,-0.09395760297775269,-0.22750240564346313,0.06173226609826088,-0.9672661423683166,0.001672567566856742,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417751312255859,0.04667067155241966,-0.016787201166152954,-0.0945550948381424,-0.2274242639541626,0.06126774474978447,-0.9672558903694153,0.0016744575696066022,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417519450187683,0.04670526087284088,-0.016771284863352776,-0.09543652832508087,-0.22746111452579498,0.061248719692230225,-0.9671617746353149,0.0016879108734428883,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.641760528087616,0.04675942659378052,-0.016737965866923332,-0.09521116316318512,-0.22851981222629547,0.06271884590387344,-0.9668401479721069,0.0016905682859942317,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417218446731567,0.04686277732253075,-0.01671290397644043,-0.09633983671665192,-0.22827839851379394,0.06235077604651451,-0.9668092131614685,0.001717254752293229,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417176723480225,0.0469001941382885,-0.016698172315955162,-0.09696676582098007,-0.2282104790210724,0.06228182464838028,-0.9667669534683228,0.001713791280053556,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417001485824585,0.04696741700172424,-0.016647975891828537,-0.0976654440164566,-0.22838735580444336,0.06232134252786636,-0.9666523337364197,0.0016973810270428658,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416969895362854,0.04700446501374245,-0.01662113144993782,-0.0983930453658104,-0.228351429104805,0.06212471425533295,-0.9665997624397278,0.0016967551782727242,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.641725480556488,0.047085873782634735,-0.01657632179558277,-0.09883143752813339,-0.22889727354049683,0.06318442523479462,-0.9663571119308472,0.0016984649701043963,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417304873466492,0.04713233560323715,-0.016547519713640213,-0.09925264120101929,-0.2292158454656601,0.0635325238108635,-0.9662156701087952,0.0016979852225631475,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417185068130493,0.047230467200279236,-0.016506580635905266,-0.0999605730175972,-0.22970540821552277,0.0639672502875328,-0.9659976959228516,0.0017274534329771996,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417168974876404,0.04725237190723419,-0.016436368227005005,-0.1011565700173378,-0.22937725484371185,0.06288813054561615,-0.9660220742225647,0.001737986458465457,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417396068572998,0.04734223335981369,-0.01639956794679165,-0.10115628689527512,-0.23056963086128235,0.06420896202325821,-0.965651273727417,0.001750364899635315,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417210698127747,0.04739967733621597,-0.016344955191016197,-0.1013638898730278,-0.23121337592601776,0.0646563395857811,-0.9654456973075867,0.0017459038645029068,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417117714881897,0.047428734600543976,-0.01630791276693344,-0.10165985673666,-0.2314513474702835,0.06457111984491348,-0.9653632640838623,0.001747445436194539,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6417029500007629,0.04746367037296295,-0.01626037247478962,-0.10178489238023758,-0.23173759877681732,0.06432566791772842,-0.9652978181838989,0.0017467931611463428,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416959166526794,0.047449059784412384,-0.016203410923480987,-0.10172678530216217,-0.23256587982177734,0.06450895965099335,-0.9650924801826477,0.0017467034049332142,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416831016540527,0.047466784715652466,-0.016162484884262085,-0.10176549106836319,-0.2327461987733841,0.06419046968221664,-0.9650660753250122,0.0017475774511694908,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416524648666382,0.047439705580472946,-0.016141217201948166,-0.10240904241800308,-0.2322884052991867,0.06273019313812256,-0.9652044177055359,0.0017337501049041748,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416290402412415,0.047473255544900894,-0.016109418123960495,-0.10260554403066635,-0.2325635850429535,0.06252104789018631,-0.9651308059692383,0.0017167699988931417,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.641621470451355,0.047467976808547974,-0.01610429212450981,-0.10255651921033859,-0.2326752096414566,0.06248665228486061,-0.9651113748550415,0.0017130908090621233,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.641620397567749,0.04745898395776749,-0.01610558293759823,-0.1025548204779625,-0.23272226750850677,0.06250935047864914,-0.9650986790657043,0.0017153799999505281,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416161060333252,0.04744747281074524,-0.016134880483150482,-0.1022854894399643,-0.23271557688713074,0.0625586286187172,-0.9651256799697876,0.0017268169904127717,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416249871253967,0.04745170101523399,-0.0161429475992918,-0.10206960141658783,-0.23278076946735382,0.06272871047258377,-0.9651218056678772,0.001724348170682788,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416316628456116,0.04744989052414894,-0.016156625002622604,-0.10191090404987335,-0.23297913372516632,0.0631062388420105,-0.9650660753250122,0.0017232713289558887,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416328549385071,0.047447409480810165,-0.016161294654011726,-0.10184724628925323,-0.2331427037715912,0.06321202218532562,-0.965026319026947,0.0017210566438734531,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416283845901489,0.047445911914110184,-0.01615845039486885,-0.10174155980348587,-0.23324492573738098,0.06328996270895004,-0.9650076627731323,0.00172111252322793,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6416176557540894,0.04744180664420128,-0.016158729791641235,-0.10168395191431046,-0.23333390057086945,0.06317567080259323,-0.964999794960022,0.0017192545346915722,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415981650352478,0.047440893948078155,-0.016151737421751022,-0.10161186754703522,-0.23352181911468506,0.06313033401966095,-0.9649649262428284,0.001716571394354105,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415853500366211,0.04743689298629761,-0.016119034960865974,-0.1018701121211052,-0.2336597740650177,0.06278478354215622,-0.9649268388748169,0.0017044272972270846,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415697932243347,0.04743463918566704,-0.016096025705337524,-0.10195133090019226,-0.23370271921157837,0.062372758984565735,-0.9649345278739929,0.0017052660696208477,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415557861328125,0.047438785433769226,-0.016080567613244057,-0.10184720903635025,-0.23384417593479156,0.062240052968263626,-0.9649198651313782,0.0017026718705892563,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415461897850037,0.047437749803066254,-0.016068698838353157,-0.10181818157434463,-0.233855739235878,0.06211908534169197,-0.9649278521537781,0.0017045547720044851,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415080428123474,0.04741618037223816,-0.0160580575466156,-0.10246690362691879,-0.23294849693775177,0.06039104238152504,-0.9651883244514465,0.0016936790198087692,1,6,0,1,55,GBYK,small,right,large,left
RigidBody,1,0.6415121555328369,0.047419242560863495,-0.016046788543462753,-0.10246725380420685,-0.2328857183456421,0.06027814745903015,-0.9652104377746582,0.0016901236958801746,1,6,0,1,55,GBYK,small,right,large,left
