asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,104,2.865655359544251e-42,0.6130242347717285,0.06396900117397308,-0.06428877264261246,-32135,1.6746329401790872e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,958006841,3.002982609048083e-42,0.6232379674911499,0.06687124818563461,-0.03668566420674324,17828,1.6746091181051937e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,961350248,3.225789064875729e-42,0.6567073464393616,0.05063144490122795,0.026193568482995033,-7989,1.6746119207021224e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,968166995,3.2299929602687033e-42,0.6627307534217834,0.018086859956383705,0.0046105580404400825,-30603,1.6745810921359072e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,104,2.865655359544251e-42,0.6130754351615906,0.06401053071022034,-0.0642969161272049,-32324,1.6746329401790872e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,957762786,3.002982609048083e-42,0.6232989430427551,0.06692656129598618,-0.0366801843047142,18937,1.6746091181051937e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,961028973,3.225789064875729e-42,0.6567387580871582,0.05063091218471527,0.02618985064327717,-11967,1.6746119207021224e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,968473156,3.2299929602687033e-42,0.6627311706542969,0.018089067190885544,0.004609875380992889,-30337,1.6745810921359072e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,104,2.865655359544251e-42,0.6131253838539124,0.06405557692050934,-0.06430153548717499,-32402,1.6746329401790872e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,957229148,3.002982609048083e-42,0.6233350038528442,0.06696034967899323,-0.036683715879917145,20040,1.6746091181051937e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,960240542,3.225789064875729e-42,0.6567612886428833,0.05063440650701523,0.026189234107732773,-16051,1.6746119207021224e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,968728795,3.2299929602687033e-42,0.6627485156059265,0.018095796927809715,0.0046107289381325245,-30071,1.6745810921359072e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,104,2.865655359544251e-42,0.6131743788719177,0.06410934776067734,-0.06431245058774948,-32479,1.6746329401790872e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,956354038,3.002982609048083e-42,0.6233798861503601,0.0670057088136673,-0.03667888790369034,21256,1.6746091181051937e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,960429792,3.225789064875729e-42,0.6567816734313965,0.05064591020345688,0.02617950364947319,-20107,1.6746119207021224e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,968883594,3.2299929602687033e-42,0.6627388000488281,0.018080785870552063,0.004607267212122679,-29806,1.6745810921359072e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,104,2.865655359544251e-42,0.613214373588562,0.06417123973369598,-0.06431805342435837,-32722,1.6746329401790872e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,955023590,3.002982609048083e-42,0.623415470123291,0.06706283986568451,-0.036689043045043945,22467,1.6746091181051937e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,959777837,3.225789064875729e-42,0.6568005084991455,0.05064716190099716,0.026179343461990356,-24486,1.6746119207021224e-39,6,0,1,56,GBYK,small,right,small,left
AssetMarker,968872723,3.2299929602687033e-42,0.6627403497695923,0.018086783587932587,0.004605633206665516,-29543,1.6745810921359072e-39,6,0,1,56,GBYK,small,right,small,left
