asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.6574541926383972,0.051047008484601974,0.025766834616661072,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.46419277787208557,0.3230954706668854,0.887416422367096,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574273705482483,0.050987016409635544,0.02577284537255764,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.46479952335357666,0.32110610604286194,0.8862139582633972,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574601531028748,0.05104109272360802,0.02576066181063652,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.46439099311828613,0.32024914026260376,0.8845347762107849,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574659943580627,0.05103737115859985,0.025761393830180168,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.4634765684604645,0.32236647605895996,0.882166862487793,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574709415435791,0.05103958025574684,0.02577425166964531,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574780941009521,0.05103814974427223,0.025787504389882088,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.657479465007782,0.05103526636958122,0.025808852165937424,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574835181236267,0.0510382317006588,0.025836436077952385,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574567556381226,0.050980065017938614,0.025887589901685715,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574828028678894,0.05103805661201477,0.025895720347762108,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574922800064087,0.051032986491918564,0.02589327096939087,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.4062590003013611,0.2665887475013733,0.9639453887939453,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574892401695251,0.05103389546275139,0.02589370682835579,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.40489327907562256,0.2651273310184479,0.9643110632896423,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.657498300075531,0.05103849247097969,0.025883924216032028,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.40431514382362366,0.2629028558731079,0.9655664563179016,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574741005897522,0.0509759820997715,0.025893377140164375,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.40310707688331604,0.2620733678340912,0.9671776294708252,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6575053334236145,0.05103351175785065,0.025872979313135147,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.40294942259788513,0.2613219618797302,0.9693904519081116,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574846506118774,0.05096869915723801,0.02587762102484703,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.40242472290992737,0.2595877945423126,0.9714698791503906,6,0,2,11,KBYG,small,right,large,left
LegacyMarker,0.6574867963790894,0.05096863955259323,0.025888370350003242,6,0,2,11,KBYG,small,right,large,left
