asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,468,4.591788820884204e-40,0.604236364364624,0.011044779792428017,0.5933496952056885,7418,1.4857900354909748e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,967554578,4.591802833868847e-40,0.5718100070953369,0.011224123649299145,0.5931129455566406,7794,1.4857898112832205e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965708085,4.59181684685349e-40,0.5870431065559387,0.01274771336466074,0.5766196250915527,-25223,1.4857890265560805e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,960268531,9.183689745645554e-41,0.022064533084630966,0.00793971586972475,0.0277548860758543,3346,1.4857884660366947e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,974182048,9.183829875491986e-41,0.004661343991756439,0.007977212779223919,0.023957742378115654,8835,1.4857873449979233e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965602050,9.183970005338419e-41,0.022054674103856087,0.00861351378262043,0.01062828954309225,3501,1.4857851029203804e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,976043038,1.8367239361444675e-40,1.166231632232666,0.014692291617393494,0.021656418219208717,-10796,1.4857862239591518e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,962936619,1.8367379491291107e-40,1.1478227376937866,0.014151354320347309,0.024837220087647438,16838,1.4857872328940461e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965602734,1.836751962113754e-40,1.14547860622406,0.01380449440330267,0.00878158025443554,14394,1.4857861118552747e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,958892031,5.510143782464116e-40,0.34521380066871643,0.03285617008805275,0.13806715607643127,-15785,1.4858004611515494e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965648591,5.510157795448759e-40,0.4808454215526581,0.03295344114303589,0.2505846321582794,-4482,1.4858007974631808e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,968630158,5.5101718084334024e-40,0.4473470449447632,0.03297555819153786,0.2759418487548828,7010,1.4858012458786894e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965447228,2.7550788977243796e-40,1.163200855255127,0.017310304567217827,0.56641685962677,30660,1.4857892507638348e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,966289866,2.755092910709023e-40,1.1815062761306763,0.015786536037921905,0.563535213470459,10536,1.485787120790169e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,971705008,2.755106923693666e-40,1.1608994007110596,0.016077818349003792,0.5858991146087646,13111,1.4857862239591518e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,966031951,3.673433859304292e-40,0.003767922054976225,0.012689229100942612,0.572206437587738,-31616,1.4857881297250633e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,972328974,3.673447872288935e-40,0.02322719432413578,0.012863884679973125,0.5736359357833862,-7233,1.4857874571018004e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,971716545,3.673461885273578e-40,0.02442503347992897,0.012087821960449219,0.5912686586380005,-25164,1.4857875692056776e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,468,4.591788820884204e-40,0.6042356491088867,0.011038966476917267,0.5933563709259033,7272,1.4857900354909748e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,967541071,4.591802833868847e-40,0.5718470811843872,0.011117774993181229,0.5931745171546936,7765,1.4857898112832205e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,967753104,4.59181684685349e-40,0.587049663066864,0.012752139940857887,0.5766305923461914,-25309,1.4857890265560805e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,959965930,9.183689745645554e-41,0.02206484228372574,0.00794097688049078,0.027759116142988205,3191,1.4857884660366947e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,974185228,9.183829875491986e-41,0.004664023406803608,0.007985030300915241,0.023966370150446892,8920,1.4857873449979233e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965648948,9.183970005338419e-41,0.022055452689528465,0.008598762564361095,0.010632327757775784,3498,1.4857851029203804e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,976927859,1.8367239361444675e-40,1.166236400604248,0.014700397849082947,0.021669184789061546,-10703,1.4857862239591518e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,962663405,1.8367379491291107e-40,1.1478281021118164,0.01415238156914711,0.02484131045639515,16830,1.4857872328940461e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,965775520,1.836751962113754e-40,1.1454813480377197,0.013797812163829803,0.008779923431575298,14421,1.4857861118552747e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,959282904,5.510143782464116e-40,0.344777375459671,0.03277779743075371,0.1375666707754135,-15533,1.4858004611515494e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,963360935,5.510157795448759e-40,0.48019447922706604,0.032928649336099625,0.24984751641750336,-4329,1.4858007974631808e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,966560781,5.5101718084334024e-40,0.44660961627960205,0.0333063043653965,0.27519747614860535,7025,1.4858012458786894e-37,6,0,2,1,KBYG,small,right,small,left
AssetMarker,961399828,2.7550788977243796e-40,1.1632027626037598,0.017239399254322052,0.5664353370666504,30558,1.4857892507638348e-37,6,0,2,1,KBYG,small,right,small,left
